Epoch,Loss,Train Focal Loss,Train Dice Loss,Train Accuracy,Validation Focal Loss,Validation Dice Loss,Validation Loss,Validation Accuracy
46, 0.3962341860, 0.0985055596, 0.2977286220, 0.8608596802, 0.2558820851, 0.4030927902, 0.6589748774,  0.8159412202
47, 0.3888497904, 0.0977615960, 0.2910881937, 0.8635482788, 0.2709679320, 0.4045053749, 0.6754733012,  0.8181820824
48, 0.3891966254, 0.0971818130, 0.2920148134, 0.8627395630, 0.2665745680, 0.4056476241, 0.6722221857,  0.8139270601
49, 0.3877946824, 0.0973408226, 0.2904538602, 0.8631523132, 0.2700718251, 0.4035588957, 0.6736307173,  0.8142845517
50, 0.3938691273, 0.0995055363, 0.2943635911, 0.8615333557, 0.2769050584, 0.4019546594, 0.6788597164,  0.8182867141
51, 0.3827840477, 0.0953183047, 0.2874657422, 0.8660064697, 0.2662839748, 0.4009749719, 0.6672589552,  0.8168858119
52, 0.3891341433, 0.0976680920, 0.2914660484, 0.8628517151, 0.2671212320, 0.4037260896, 0.6708473223,  0.8157203311
53, 0.3848073035, 0.0961748008, 0.2886325002, 0.8642005920, 0.2690836049, 0.4036992192, 0.6727828213,  0.8156098865
54, 0.3808933705, 0.0947970606, 0.2860963106, 0.8658630371, 0.2649419485, 0.3986346381, 0.6635765887,  0.8164236886
55, 0.3840999559, 0.0965294044, 0.2875705510, 0.8642997742, 0.2822072733, 0.4066444011, 0.6888516744,  0.8140869141
56, 0.3827166051, 0.0961156581, 0.2866009474, 0.8642654419, 0.2707446516, 0.4040743794, 0.6748190324,  0.8149472191
57, 0.3770314872, 0.0940884054, 0.2829430819, 0.8668449402, 0.2766149647, 0.4001145306, 0.6767294918,  0.8180106027
58, 0.3788692489, 0.0949954506, 0.2838737994, 0.8666763306, 0.2807614441, 0.3990614414, 0.6798228820,  0.8191034226
59, 0.3820961818, 0.0964952596, 0.2856009245, 0.8644676208, 0.2751271526, 0.4010991624, 0.6762263122,  0.8152117048
60, 0.3794405535, 0.0959296931, 0.2835108578, 0.8654174805, 0.2678349955, 0.3978244322, 0.6656594248,  0.8160400391
61, 0.3809244663, 0.0968934253, 0.2840310395, 0.8648345947, 0.2741920224, 0.3980029679, 0.6721949890,  0.8185453869
62, 0.3744812161, 0.0936618190, 0.2808193982, 0.8678916931, 0.2727642826, 0.4002244018, 0.6729886872,  0.8179175967
63, 0.3818087772, 0.0970945731, 0.2847142041, 0.8649406433, 0.2701772274, 0.4022993332, 0.6724765585,  0.8161388579
64, 0.3809346929, 0.0968135558, 0.2841211379, 0.8650184631, 0.2832326556, 0.4020057150, 0.6852383727,  0.8175978888
65, 0.3755448967, 0.0949673068, 0.2805775911, 0.8664924622, 0.2742655462, 0.3999601461, 0.6742256937,  0.8143019903
66, 0.3695264563, 0.0922414869, 0.2772849679, 0.8696052551, 0.2622193091, 0.3915522695, 0.6537715764,  0.8194115048
67, 0.3733512804, 0.0948674411, 0.2784838408, 0.8677520752, 0.2828711328, 0.3997684746, 0.6826396045,  0.8170863560
68, 0.3725201532, 0.0950582404, 0.2774619132, 0.8670120239, 0.2703906695, 0.3991338923, 0.6695245618,  0.8153889974
69, 0.3768466681, 0.0953889396, 0.2814577281, 0.8662467957, 0.2779002644, 0.3971715655, 0.6750718298,  0.8182198661
70, 0.3740611345, 0.0953399699, 0.2787211657, 0.8671478271, 0.2833131637, 0.4029664000, 0.6862795637,  0.8145025344
71, 0.3696485892, 0.0931906987, 0.2764578909, 0.8690368652, 0.2741760179, 0.3940133481, 0.6681893667,  0.8195103237
72, 0.3648489445, 0.0921643090, 0.2726846367, 0.8694320679, 0.2807730124, 0.3992741704, 0.6800471885,  0.8149094355
73, 0.3661198393, 0.0931969162, 0.2729229242, 0.8686347961, 0.2744047635, 0.3952581400, 0.6696629127,  0.8179553804
74, 0.3659485430, 0.0923136916, 0.2736348510, 0.8702072144, 0.2780354051, 0.3969953997, 0.6750308105,  0.8166038876
75, 0.3696402401, 0.0941296466, 0.2755105942, 0.8691184998, 0.2803528110, 0.3972585485, 0.6776113595,  0.8158540272
76, 0.3653538927, 0.0918294132, 0.2735244811, 0.8704505920, 0.2907587772, 0.3998288541, 0.6905876341,  0.8175571987
77, 0.3680574626, 0.0937118448, 0.2743456185, 0.8689842224, 0.2878592561, 0.3993165635, 0.6871758132,  0.8163975307
78, 0.3713185191, 0.0948264029, 0.2764921159, 0.8684829712, 0.2775832074, 0.3965288457, 0.6741120560,  0.8163132440
79, 0.3664284155, 0.0930007648, 0.2734276503, 0.8696975708, 0.2817152157, 0.3954106087, 0.6771258314,  0.8176037016
80, 0.3692210704, 0.0943176217, 0.2749034494, 0.8680290222, 0.2962319305, 0.4030770972, 0.6993090283,  0.8147524879
81, 0.3663216129, 0.0929555215, 0.2733660907, 0.8697052002, 0.2799720608, 0.3954925736, 0.6754646358,  0.8165428525
82, 0.3622605011, 0.0920671050, 0.2701933980, 0.8699035645, 0.2867132191, 0.3988172384, 0.6855304610,  0.8155488514
83, 0.3606389955, 0.0914766312, 0.2691623628, 0.8707527161, 0.2780853425, 0.3937554359, 0.6718407784,  0.8167928060
84, 0.3722922161, 0.0964286279, 0.2758635879, 0.8660293579, 0.2940234854, 0.3981131372, 0.6921366226,  0.8175804501
85, 0.3628697485, 0.0922437891, 0.2706259608, 0.8705390930, 0.2813288130, 0.3922130068, 0.6735418240,  0.8186674572
86, 0.3600064978, 0.0912200972, 0.2687864006, 0.8723831177, 0.2841640761, 0.3960109750, 0.6801750518,  0.8176850818
87, 0.3629967824, 0.0933820173, 0.2696147650, 0.8692611694, 0.2810274497, 0.3960447993, 0.6770722440,  0.8148077102
88, 0.3610419571, 0.0919482429, 0.2690937161, 0.8708694458, 0.2801640616, 0.3941204832, 0.6742845461,  0.8160051618
89, 0.3658675477, 0.0943148267, 0.2715527177, 0.8685043335, 0.2830930821, 0.3954344988, 0.6785275766,  0.8183884394
90, 0.3640153050, 0.0930373546, 0.2709779501, 0.8705207825, 0.2925805081, 0.3992775906, 0.6918580986,  0.8178972517
91, 0.3598556772, 0.0914808184, 0.2683748573, 0.8709831238, 0.2811467406, 0.3902608156, 0.6714075577,  0.8203502837
92, 0.3611978218, 0.0928233452, 0.2683744729, 0.8708366394, 0.2926363030, 0.3960425201, 0.6886788266,  0.8165951683
93, 0.3588663861, 0.0919639237, 0.2669024587, 0.8717391968, 0.2941745640, 0.4012292822, 0.6954038455,  0.8144298735
94, 0.3569208249, 0.0907903496, 0.2661304772, 0.8719306946, 0.2862355319, 0.3948180619, 0.6810535987,  0.8152756464
95, 0.3568441942, 0.0910422251, 0.2658019662, 0.8714729309, 0.2917175229, 0.3974943644, 0.6892118823,  0.8178420294
96, 0.3586853057, 0.0923433550, 0.2663419515, 0.8708984375, 0.2852095429, 0.3917814976, 0.6769910483,  0.8176124209
97, 0.3513285652, 0.0891722016, 0.2621563673, 0.8741683960, 0.2987765457, 0.3970460523, 0.6958225994,  0.8168654669
98, 0.3526783615, 0.0900293928, 0.2626489669, 0.8742103577, 0.2887957806, 0.3922585504, 0.6810543310,  0.8165806362
99, 0.3545572326, 0.0909838676, 0.2635733634, 0.8727378845, 0.2835618364, 0.3896998224, 0.6732616566,  0.8187488374
100, 0.3524808735, 0.0905364938, 0.2619443804, 0.8727874756, 0.3036419288, 0.3991184149, 0.7027603416,  0.8148077102
101, 0.3568960771, 0.0924294267, 0.2644666493, 0.8719909668, 0.2945003573, 0.3954852876, 0.6899856442,  0.8153744652
102, 0.3553077549, 0.0908735342, 0.2644342184, 0.8726402283, 0.2855299768, 0.3944632297, 0.6799932094,  0.8154878162
103, 0.3531798467, 0.0902918916, 0.2628879577, 0.8726882935, 0.2858390006, 0.3898450590, 0.6756840604,  0.8191179548
104, 0.3507932648, 0.0905949723, 0.2601982921, 0.8734001160, 0.2962874316, 0.3933520062, 0.6896394349,  0.8161127000
105, 0.3517220527, 0.0898878306, 0.2618342191, 0.8739288330, 0.2957060046, 0.3918717617, 0.6875777699,  0.8167986189
106, 0.3489190251, 0.0887370892, 0.2601819336, 0.8752243042, 0.2985118422, 0.3963238938, 0.6948357366,  0.8158540272
107, 0.3500363052, 0.0898220316, 0.2602142751, 0.8745376587, 0.2951720939, 0.3945190169, 0.6896911008,  0.8171270461
108, 0.3491246238, 0.0899554145, 0.2591692090, 0.8732261658, 0.2939510991, 0.3925935711, 0.6865446653,  0.8171561105
109, 0.3465079963, 0.0888177153, 0.2576902807, 0.8751541138, 0.2877325714, 0.3888782007, 0.6766107764,  0.8171212333
110, 0.3499118492, 0.0905658737, 0.2593459725, 0.8729316711, 0.2972908041, 0.3927108078, 0.6900016098,  0.8198910668
111, 0.3498771191, 0.0897065073, 0.2601706147, 0.8736488342, 0.2990396115, 0.3983112772, 0.6973508880,  0.8145374116
112, 0.3455308855, 0.0880936887, 0.2574371994, 0.8765907288, 0.2889028163, 0.3909528341, 0.6798556561,  0.8190714518
113, 0.3539243087, 0.0916077431, 0.2623165667, 0.8722511292, 0.2960250207, 0.3906237738, 0.6866487917,  0.8188360305
114, 0.3508209884, 0.0902781915, 0.2605427980, 0.8741531372, 0.2891552711, 0.3915261711, 0.6806814472,  0.8193533761
115, 0.3481673986, 0.0892571878, 0.2589102119, 0.8731147766, 0.2875116219, 0.3918300924, 0.6793417136,  0.8168829055
116, 0.3442403838, 0.0875730444, 0.2566673398, 0.8766632080, 0.3108429497, 0.3976543063, 0.7084972575,  0.8160632906
117, 0.3431935653, 0.0878579456, 0.2553356171, 0.8762924194, 0.3091405360, 0.3983524953, 0.7074930271,  0.8154296875
118, 0.3460964248, 0.0889307328, 0.2571656913, 0.8747756958, 0.2901742458, 0.3867523500, 0.6769265958,  0.8204316639
119, 0.3447101623, 0.0888583373, 0.2558518261, 0.8749046326, 0.2935685778, 0.3945782043, 0.6881467785,  0.8146972656
120, 0.3433023080, 0.0881679386, 0.2551343709, 0.8750976563, 0.3037973153, 0.3940181988, 0.6978155204,  0.8162463960
121, 0.3439801008, 0.0885659218, 0.2554141819, 0.8754341125, 0.2996732742, 0.3937693664, 0.6934426399,  0.8153541202
122, 0.3400177389, 0.0866142262, 0.2534035146, 0.8770828247, 0.2908940514, 0.3890217599, 0.6799158085,  0.8182576497
123, 0.3425732210, 0.0881553620, 0.2544178575, 0.8764404297, 0.3033067002, 0.3943539432, 0.6976606477,  0.8174787249
124, 0.3404912084, 0.0876290459, 0.2528621614, 0.8771568298, 0.3006778217, 0.3893105331, 0.6899883520,  0.8213210333
125, 0.3424693778, 0.0887072317, 0.2537621409, 0.8758842468, 0.3007752463, 0.3935517811, 0.6943270280,  0.8169817243
126, 0.3413570851, 0.0872432191, 0.2541138619, 0.8768951416, 0.2971668172, 0.3915185730, 0.6886853916,  0.8160255069
127, 0.3407959178, 0.0879615784, 0.2528343379, 0.8760910034, 0.2940097622, 0.3912924840, 0.6853022433,  0.8173159645
128, 0.3420740426, 0.0879947394, 0.2540793002, 0.8764190674, 0.3004712810, 0.3931469861, 0.6936182664,  0.8170224144
129, 0.3408467218, 0.0880091604, 0.2528375626, 0.8757881165, 0.2988082688, 0.3900992842, 0.6889075523,  0.8194609142
130, 0.3380062163, 0.0864429351, 0.2515632808, 0.8778289795, 0.2985236446, 0.3936681038, 0.6921917456,  0.8142322359
131, 0.3401876673, 0.0876550261, 0.2525326431, 0.8766540527, 0.3089951270, 0.3941834796, 0.7031786073,  0.8131423224
132, 0.3366094813, 0.0852349602, 0.2513745248, 0.8782119751, 0.3029795672, 0.3904347874, 0.6934143645,  0.8185947963
133, 0.3373186842, 0.0865726355, 0.2507460445, 0.8772438049, 0.2994984097, 0.3916980738, 0.6911964757,  0.8167201451
134, 0.3406040430, 0.0886896174, 0.2519144237, 0.8765388489, 0.3109644808, 0.3924204537, 0.7033849302,  0.8167811802
135, 0.3414015457, 0.0877864413, 0.2536151052, 0.8767448425, 0.2957169300, 0.3879341398, 0.6836510698,  0.8191150484
136, 0.3354647473, 0.0867317941, 0.2487329513, 0.8773307800, 0.3049814964, 0.3926369519, 0.6976184448,  0.8167027065
137, 0.3396027088, 0.0871599007, 0.2524428099, 0.8767524719, 0.2989346875, 0.3903327244, 0.6892674111,  0.8174176897
138, 0.3419397444, 0.0890140638, 0.2529256791, 0.8760185242, 0.2989459385, 0.3883746862, 0.6873206298,  0.8218238467
139, 0.3360500872, 0.0865363643, 0.2495137215, 0.8777198792, 0.3055293858, 0.3899997501, 0.6955291345,  0.8182663690
140, 0.3353629231, 0.0860437844, 0.2493191391, 0.8781036377, 0.2965397955, 0.3899787920, 0.6865185925,  0.8157726469
141, 0.3336096823, 0.0862498846, 0.2473597974, 0.8792503357, 0.3033113040, 0.3883348987, 0.6916462013,  0.8198096866
142, 0.3383601844, 0.0865250893, 0.2518350929, 0.8776374817, 0.3127952772, 0.3918845370, 0.7046798184,  0.8180716378
143, 0.3334182620, 0.0856971912, 0.2477210730, 0.8791664124, 0.3191696455, 0.3949491353, 0.7141187787,  0.8179234096
144, 0.3341338322, 0.0856956597, 0.2484381706, 0.8788581848, 0.2915446964, 0.3894490401, 0.6809937386,  0.8187924340
145, 0.3322545096, 0.0860440124, 0.2462104946, 0.8790283203, 0.3040810220, 0.3903670169, 0.6944480368,  0.8172084263
146, 0.3342432871, 0.0860646054, 0.2481786847, 0.8792091370, 0.3016687930, 0.3911650379, 0.6928338323,  0.8180076962
147, 0.3386134818, 0.0881644949, 0.2504489869, 0.8775985718, 0.3043579041, 0.3881682498, 0.6925261503,  0.8186500186
148, 0.3345932156, 0.0853504665, 0.2492427468, 0.8795242310, 0.2990171512, 0.3852615385, 0.6842786868,  0.8219430106
149, 0.3304158196, 0.0848899778, 0.2455258369, 0.8796897888, 0.3089100257, 0.3875663139, 0.6964763346,  0.8185134161
150, 0.3348400906, 0.0870801169, 0.2477599710, 0.8784385681, 0.3076524082, 0.3850411858, 0.6926935911,  0.8219371977
151, 0.3307212278, 0.0854106151, 0.2453106135, 0.8792106628, 0.3137089028, 0.3917081470, 0.7054170512,  0.8174932571
152, 0.3337739557, 0.0868705243, 0.2469034344, 0.8778068542, 0.3130092876, 0.3915336104, 0.7045428980,  0.8182779948
153, 0.3320560262, 0.0856051091, 0.2464509159, 0.8781364441, 0.3076469884, 0.3938845595, 0.7015315465,  0.8158976237
154, 0.3311008230, 0.0856511407, 0.2454496801, 0.8792022705, 0.2949758498, 0.3834476272, 0.6784234785,  0.8205479213
155, 0.3269188628, 0.0835201126, 0.2433987528, 0.8812278748, 0.3130319161, 0.3891006822, 0.7021325940,  0.8182809012
156, 0.3289269105, 0.0847857211, 0.2441411883, 0.8799102783, 0.3085023505, 0.3888435364, 0.6973458869,  0.8197195871
157, 0.3288140655, 0.0841279365, 0.2446861297, 0.8806526184, 0.3204789204, 0.3942163303, 0.7146952436,  0.8181152344
158, 0.3237462714, 0.0830657076, 0.2406805664, 0.8814262390, 0.3078572374, 0.3880710006, 0.6959282415,  0.8179175967
159, 0.3280515984, 0.0849824961, 0.2430691034, 0.8811355591, 0.3139624958, 0.3864077159, 0.7003702096,  0.8202078683
160, 0.3246052280, 0.0832621031, 0.2413431227, 0.8816642761, 0.3011383017, 0.3827687701, 0.6839070689,  0.8210216704
161, 0.3266096473, 0.0847439658, 0.2418656826, 0.8800682068, 0.3134876667, 0.3917779695, 0.7052656355,  0.8181065151
162, 0.3242590263, 0.0827641167, 0.2414949059, 0.8818138123, 0.3054084529, 0.3852206838, 0.6906291332,  0.8203590030
163, 0.3238507584, 0.0829065166, 0.2409442484, 0.8827209473, 0.3033263776, 0.3858618566, 0.6891882363,  0.8196701776
164, 0.3258829385, 0.0842931811, 0.2415897548, 0.8814163208, 0.3053075373, 0.3877013723, 0.6930089139,  0.8187662760
165, 0.3280145288, 0.0847436991, 0.2432708293, 0.8806198120, 0.3127544061, 0.3904805297, 0.7032349365,  0.8173159645
166, 0.3257741705, 0.0845586266, 0.2412155479, 0.8802108765, 0.3130243222, 0.3877468138, 0.7007711359,  0.8186006092
167, 0.3257568851, 0.0843527418, 0.2414041400, 0.8806381226, 0.3218570068, 0.3926734896, 0.7145304964,  0.8166794550
168, 0.3219153866, 0.0822649609, 0.2396504223, 0.8819931030, 0.3106066450, 0.3882075463, 0.6988141934,  0.8176095145
169, 0.3229522794, 0.0832559049, 0.2396963745, 0.8809303284, 0.3117075520, 0.3887096473, 0.7004171950,  0.8184000651
170, 0.3262394503, 0.0847824603, 0.2414569885, 0.8813041687, 0.3078353426, 0.3837686862, 0.6916040352,  0.8223964146
171, 0.3233237982, 0.0827861074, 0.2405376911, 0.8822219849, 0.3188877418, 0.3886473519, 0.7075350909,  0.8187517439
172, 0.3223876089, 0.0833804805, 0.2390071273, 0.8822731018, 0.3230658088, 0.3898805522, 0.7129463610,  0.8173566546
173, 0.3252816096, 0.0847576298, 0.2405239791, 0.8809257507, 0.3326522523, 0.3927574498, 0.7254097036,  0.8184378488
174, 0.3221395195, 0.0826731909, 0.2394663274, 0.8834213257, 0.3039150813, 0.3841534598, 0.6880685375,  0.8182605562
175, 0.3271042541, 0.0849859767, 0.2421182781, 0.8806838989, 0.3043069797, 0.3851581471, 0.6894651282,  0.8200538272
176, 0.3234346941, 0.0834314890, 0.2400032043, 0.8816932678, 0.3091141255, 0.3864497514, 0.6955638755,  0.8203357515
177, 0.3195024669, 0.0824346736, 0.2370677918, 0.8829010010, 0.3072574493, 0.3891813727, 0.6964388178,  0.8176007952
178, 0.3223832861, 0.0832221430, 0.2391611397, 0.8810958862, 0.3084978092, 0.3842533969, 0.6927512061,  0.8177519299
179, 0.3235898718, 0.0839190986, 0.2396707743, 0.8804542542, 0.3197572522, 0.3897468703, 0.7095041218,  0.8198794410
180, 0.3218730226, 0.0829706665, 0.2389023602, 0.8818618774, 0.3093933456, 0.3877990019, 0.6971923453,  0.8200305757
181, 0.3192584530, 0.0817816980, 0.2374767482, 0.8825279236, 0.3172311130, 0.3909172671, 0.7081483830,  0.8161824544
182, 0.3201942980, 0.0826287266, 0.2375655711, 0.8830329895, 0.3247972209, 0.3901781269, 0.7149753514,  0.8200392950
183, 0.3242514074, 0.0840155616, 0.2402358443, 0.8815208435, 0.3222525418, 0.3924388687, 0.7146914119,  0.8156098865
184, 0.3180311039, 0.0818486560, 0.2361824423, 0.8840133667, 0.3174455506, 0.3884178116, 0.7058633651,  0.8183680943
185, 0.3202418625, 0.0828182839, 0.2374235809, 0.8831596375, 0.3114039848, 0.3842413511, 0.6956453352,  0.8200857980
186, 0.3165296406, 0.0820426609, 0.2344869792, 0.8841041565, 0.3106784288, 0.3864565548, 0.6971349858,  0.8174525670
187, 0.3191859573, 0.0820052400, 0.2371807188, 0.8823631287, 0.3174548816, 0.3875444049, 0.7049992822,  0.8208443778
188, 0.3200788885, 0.0835423801, 0.2365365088, 0.8825531006, 0.3152233660, 0.3850733099, 0.7002966773,  0.8192952474
189, 0.3187469900, 0.0826478947, 0.2360990942, 0.8820861816, 0.3149073159, 0.3876351856, 0.7025425008,  0.8204665411
190, 0.3163011655, 0.0812371019, 0.2350640625, 0.8839355469, 0.3137708022, 0.3880048366, 0.7017756360,  0.8188883464
191, 0.3193538308, 0.0827985123, 0.2365553170, 0.8826889038, 0.3023103568, 0.3830508760, 0.6853612378,  0.8217104957
192, 0.3149582431, 0.0815811623, 0.2333770812, 0.8841087341, 0.3116165960, 0.3875785981, 0.6991951920,  0.8188098726
193, 0.3157490641, 0.0816333912, 0.2341156721, 0.8834037781, 0.3310612071, 0.3924488085, 0.7235100184,  0.8177315848
194, 0.3151041716, 0.0812437519, 0.2338604182, 0.8847480774, 0.3247138177, 0.3881480240, 0.7128618416,  0.8196527390
195, 0.3158580363, 0.0816113647, 0.2342466742, 0.8835510254, 0.3180525047, 0.3819865840, 0.7000390859,  0.8228498186
196, 0.3177650884, 0.0826078594, 0.2351572275, 0.8832740784, 0.3166131115, 0.3875359978, 0.7041491128,  0.8179902576
197, 0.3184214428, 0.0825680971, 0.2358533442, 0.8825988770, 0.3161219529, 0.3842350358, 0.7003569858,  0.8218035017
198, 0.3161020935, 0.0816600166, 0.2344420820, 0.8839889526, 0.3204260426, 0.3889741983, 0.7094002394,  0.8175804501
199, 0.3138418823, 0.0814195059, 0.2324223787, 0.8839118958, 0.3184033114, 0.3845238629, 0.7029271722,  0.8198242188
200, 0.3191402644, 0.0827863008, 0.2363539606, 0.8820930481, 0.3116888744, 0.3829025683, 0.6945914371,  0.8205188570
